origin,destination,total_pop
E02002330,E02002330,66
E02002330,E02002331,742
E02002330,E02002332,2
E02002330,E02002333,9
E02002330,E02002334,50
E02002330,E02002335,23
E02002330,E02002336,4
E02002330,E02002337,2
E02002330,E02002338,1
E02002330,E02002339,3
E02002330,E02002340,1
E02002330,E02002341,6
E02002330,E02002343,3
E02002330,E02002344,3
E02002330,E02002345,6
E02002330,E02002346,1
E02002330,E02002347,5
E02002330,E02002348,3
E02002330,E02002349,3
E02002330,E02002350,4
E02002330,E02002351,10
E02002330,E02002352,5
E02002330,E02002353,3
E02002330,E02002354,6
E02002330,E02002356,14
E02002330,E02002357,1
E02002330,E02002358,12
E02002330,E02002359,10
E02002330,E02002360,2
E02002330,E02002361,14
E02002330,E02002362,2
E02002330,E02002363,8
E02002330,E02002364,6
E02002330,E02002366,7
E02002330,E02002367,2
E02002330,E02002371,6
E02002330,E02002373,4
E02002330,E02002374,3
E02002330,E02002375,1
E02002330,E02002376,3
E02002330,E02002377,2
E02002330,E02002379,7
E02002330,E02002380,1
E02002330,E02002381,2
E02002330,E02002382,2
E02002330,E02002383,1
E02002330,E02002384,16
E02002330,E02002385,3
E02002330,E02002386,11
E02002330,E02002387,4
E02002330,E02002388,2
E02002330,E02002389,1
E02002330,E02002390,6
E02002330,E02002391,4
E02002330,E02002392,37
E02002330,E02002393,30
E02002330,E02002394,7
E02002330,E02002395,2
E02002330,E02002396,5
E02002330,E02002397,1
E02002330,E02002398,3
E02002330,E02002399,6
E02002330,E02002400,22
E02002330,E02002402,12
E02002330,E02002403,11
E02002330,E02002404,4
E02002330,E02002405,3
E02002330,E02002406,4
E02002330,E02002408,4
E02002330,E02002409,1
E02002330,E02002411,17
E02002330,E02002412,8
E02002330,E02002414,6
E02002330,E02002415,2
E02002330,E02002416,15
E02002330,E02002417,4
E02002330,E02002418,2
E02002330,E02002419,15
E02002330,E02002420,8
E02002330,E02002421,2
E02002330,E02002422,15
E02002330,E02002424,5
E02002330,E02002425,2
E02002330,E02002426,5
E02002330,E02002427,1
E02002330,E02002428,4
E02002330,E02002430,3
E02002330,E02002431,4
E02002330,E02002433,5
E02002330,E02002435,7
E02002330,E02002436,1
E02002331,E02002330,36
E02002331,E02002331,849
E02002331,E02002333,3
E02002331,E02002334,92
E02002331,E02002335,19
E02002331,E02002336,9
