msoa,msoa11nm,ward_name
E02002330,Leeds 001,Wetherby
E02002331,Leeds 002,Wetherby
E02002332,Leeds 003,Otley and Yeadon
E02002333,Leeds 004,Otley and Yeadon
E02002334,Leeds 005,Wetherby
E02002335,Leeds 006,Harewood
E02002336,Leeds 007,Adel and Wharfedale
E02002337,Leeds 008,Guiseley and Rawdon
E02002338,Leeds 009,Guiseley and Rawdon
E02002339,Leeds 010,Guiseley and Rawdon
E02002340,Leeds 011,Otley and Yeadon
E02002341,Leeds 012,Alwoodley
E02002342,Leeds 013,Adel and Wharfedale
E02002343,Leeds 014,Guiseley and Rawdon
E02002344,Leeds 015,Alwoodley
E02002345,Leeds 016,Adel and Wharfedale
E02002346,Leeds 017,Weetwood
E02002347,Leeds 018,Alwoodley
E02002348,Leeds 019,Weetwood
E02002349,Leeds 020,Roundhay
E02002350,Leeds 021,Horsforth
E02002351,Leeds 022,Harewood
E02002352,Leeds 023,Moortown
E02002353,Leeds 024,Roundhay
E02002354,Leeds 025,Moortown
E02002356,Leeds 027,Horsforth
E02002357,Leeds 028,Horsforth
E02002358,Leeds 029,Cross Gates and Whinmoor
E02002359,Leeds 030,Harewood
E02002360,Leeds 031,Moortown
E02002361,Leeds 032,Roundhay
E02002362,Leeds 033,Kirkstall
E02002363,Leeds 034,Chapel Allerton
E02002364,Leeds 035,Killingbeck and Seacroft
E02002366,Leeds 037,Roundhay
E02002367,Leeds 038,Chapel Allerton
E02002368,Leeds 039,Calverley and Farsley
E02002369,Leeds 040,Killingbeck and Seacroft
E02002370,Leeds 041,Cross Gates and Whinmoor
E02002371,Leeds 042,Chapel Allerton
E02002373,Leeds 044,Headingley
E02002374,Leeds 045,Kirkstall
E02002375,Leeds 046,Bramley and Stanningley
E02002376,Leeds 047,Gipton and Harehills
E02002377,Leeds 048,Gipton and Harehills
E02002379,Leeds 050,Killingbeck and Seacroft
E02002380,Leeds 051,Bramley and Stanningley
E02002381,Leeds 052,Bramley and Stanningley
E02002382,Leeds 053,Gipton and Harehills
E02002383,Leeds 054,Headingley
E02002384,Leeds 055,Hyde Park and Woodhouse
E02002385,Leeds 056,Kirkstall
E02002386,Leeds 057,Cross Gates and Whinmoor
E02002387,Leeds 058,Bramley and Stanningley
E02002388,Leeds 059,Armley
E02002389,Leeds 060,Gipton and Harehills
E02002390,Leeds 061,Killingbeck and Seacroft
E02002391,Leeds 062,Calverley and Farsley
E02002392,Leeds 063,Hyde Park and Woodhouse
E02002393,Leeds 064,Burmantofts and Richmond Hill
E02002394,Leeds 065,Burmantofts and Richmond Hill
E02002395,Leeds 066,Calverley and Farsley
E02002396,Leeds 067,Armley
E02002397,Leeds 068,Pudsey
E02002398,Leeds 069,Temple Newsam
E02002399,Leeds 070,Burmantofts and Richmond Hill
E02002400,Leeds 071,Armley
E02002401,Leeds 072,Temple Newsam
E02002402,Leeds 073,Temple Newsam
E02002403,Leeds 074,Garforth and Swillington
E02002404,Leeds 075,Burmantofts and Richmond Hill
E02002405,Leeds 076,Pudsey
E02002406,Leeds 077,Garforth and Swillington
E02002407,Leeds 078,Farnley and Wortley
E02002408,Leeds 079,Pudsey
E02002409,Leeds 080,Farnley and Wortley
E02002410,Leeds 081,Farnley and Wortley
E02002411,Leeds 082,Beeston and Holbeck
E02002412,Leeds 083,Farnley and Wortley
E02002414,Leeds 085,City and Hunslet
E02002415,Leeds 086,City and Hunslet
E02002416,Leeds 087,Garforth and Swillington
E02002417,Leeds 088,Kippax and Methley
E02002418,Leeds 089,Kippax and Methley
E02002419,Leeds 090,Beeston and Holbeck
E02002420,Leeds 091,Beeston and Holbeck
E02002421,Leeds 092,Middleton Park
E02002422,Leeds 093,Morley North
E02002423,Leeds 094,Middleton Park
E02002424,Leeds 095,Morley North
E02002425,Leeds 096,Morley North
E02002426,Leeds 097,Rothwell
E02002427,Leeds 098,Rothwell
E02002428,Leeds 099,Middleton Park
E02002429,Leeds 100,Rothwell
E02002430,Leeds 101,Middleton Park
E02002431,Leeds 102,Morley South
E02002432,Leeds 103,Kippax and Methley
E02002433,Leeds 104,Morley South
E02002434,Leeds 105,Ardsley and Robin Hood
E02002435,Leeds 106,Morley South
E02002436,Leeds 107,Ardsley and Robin Hood
E02002437,Leeds 108,Ardsley and Robin Hood
E02006852,Leeds 109,Weetwood
E02006861,Leeds 110,Headingley
E02006875,Leeds 111,City and Hunslet
E02006876,Leeds 112,City and Hunslet
